LOCAL ID,COUNTY,MUNICIPALITY,ON,FROM,TO,APPROACH,AT,DIRECTION,AADT YEAR,AADT,AADT CARS,AADT TRUCKS,LOCATION
540075,NIAGARA,NIAGARA FALLS,MILITARY RD,RT 384 BUFFALO AV,CAYUGA DR,BETWEEN,,2-WAY,01/01/2007 12:00:00 AM,2500,,,"(43.07906623, -78.95819575)"
530130,ERIE,BUFFALO,SENECA ST,ELK ST,RT 62 BAILEY AV,BETWEEN,,2-WAY,01/01/1983 12:00:00 AM,14300,,,"(42.865059, -78.821926)"
540080,NIAGARA,NIAGARA FALLS,BUFFALO AVE,BUFFALO AV,77TH ST,BETWEEN,,2-WAY,01/01/2014 12:00:00 AM,4355,,,"(43.07563181, -78.96887094)"
540916,NIAGARA,NIAGARA FALLS,LASALLE ARTERIAL,I-190,77TH ST,BETWEEN,,2-WAY,01/01/2006 12:00:00 AM,19400,,,"(43.08003011, -78.9812091)"
534280,ERIE,BUFFALO,ELK ST,RT 62 BAILEY AV,RT 16 SENECA ST,BETWEEN,,1-WAY,01/01/2014 12:00:00 AM,3338,3274,63,"(42.864413, -78.823436)"
544183,NIAGARA,NORTH TONAWANDA,PAYNE AVE,WALCK DR,MEADOW DR,BETWEEN,,2-WAY,01/01/2008 12:00:00 AM,12000,,,"(43.04901973, -78.87708843)"
540054,NIAGARA,NIAGARA FALLS,BUFFALO AVE,PORTAGE RD,RAINBOW BLVD,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,2975,,,"(43.08275514, -79.04433489)"
534647,ERIE,BUFFALO,NORTH ST,ELLICOTT ST,MICHIGAN ST,BETWEEN,,2-WAY,01/01/2012 12:00:00 AM,3506,3443,62,"(42.90216783, -78.86502922)"
544094,NIAGARA,LOCKPORT,LINCOLN AVE,LOCUST ST,BEATTIE AV,BETWEEN,,2-WAY,01/01/1989 12:00:00 AM,9000,,,"(43.15386859, -78.68332028)"
536397,ERIE,BUFFALO,I-190 @ ELM ST,,,,OAK ST TO I-190 NB (ON),RAMP,01/01/2015 12:00:00 AM,5787,,,"(42.878215, -78.873315)"
530379,ERIE,ORCHARD PARK,ORCHARD PK RD,RT 20A QUAKER RD,MILESTRIP RD,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,15200,,,"(42.783339, -78.747036)"
544121,NIAGARA,LOCKPORT,LOCUST ST,WASHBURN ST,HIGH ST,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,2377,2240,136,"(43.16378153, -78.68732885)"
540026,NIAGARA,WHEATFIELD,NIA FALLS BLVD,WILLIAMS RD,NIAGARA FALLS E CITY LN,BETWEEN,,2-WAY,01/01/1975 12:00:00 AM,11900,,,"(43.09873066, -78.94432873)"
534511,ERIE,BUFFALO,LAFAYETTE AVE,ELMWOOD AV,GATES CIRCLE,BETWEEN,,2-WAY,01/01/2007 12:00:00 AM,2300,,,"(42.92044136, -78.87329578)"
530425,ERIE,CLARENCE,SHERIDAN DR,RT 78 TRANSIT RD,HARRIS HILL RD,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,14525,,,"(42.97823188, -78.68631363)"
534094,ERIE,ELMA,BOWEN RD,AURORA/ELMA TN LN,JAMISON RD,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,3500,,,"(42.801256, -78.636567)"
530084,ERIE,CHEEKTOWAGA,KENSINGTON EXPWY,RT 240 HARLEM RD,I-90,BETWEEN,,2-WAY,01/01/2010 12:00:00 AM,85425,,,"(42.932987, -78.776307)"
534232,ERIE,AMHERST,DODGE RD,SWEET HOME RD,RT 270 CAMPBELL BLVD,BETWEEN,,2-WAY,01/01/2012 12:00:00 AM,5326,5223,102,"(43.02407855, -78.77839118)"
544185,NIAGARA,NIAGARA FALLS,PIERCE AVE,11TH ST,18TH ST,BETWEEN,,2-WAY,01/01/1993 12:00:00 AM,3800,,,"(43.10173099, -79.04266387)"
544056,NIAGARA,NORTH TONAWANDA,E ROBINSON ST,SWEENEY ST,TONAWANDA CREEK/ERIE CO LINE,BETWEEN,,2-WAY,01/01/1995 12:00:00 AM,14000,,,"(43.0359799, -78.82700086)"
540914,NIAGARA,NIAGARA FALLS,NIAGARA ST,3RD ST,5TH ST,BETWEEN,,2-WAY,01/01/1988 12:00:00 AM,7300,,,"(43.08836938, -79.05755281)"
537103,ERIE,HAMBURG,SOWLES RD,RT 62 SOUTH PARK AV,BAYVIEW RD/MCKINLEY PKWY,BETWEEN,,2-WAY,01/01/1996 12:00:00 AM,3950,,,"(42.75145566, -78.81732345)"
540483,NIAGARA,NORTH TONAWANDA,NIA FALLS BLVD,(N TONA E CITY LN) CRESCENT DR,RT 425 SHAWNEE/ERIE RDS,BETWEEN,,2-WAY,01/01/2005 12:00:00 AM,31500,,,"(43.05744944, -78.83333355)"
534056,ERIE,GRAND ISLAND,BASE LINE RD,WHITEHAVEN RD,RT 324 GRAND ISLAND BLVD,BETWEEN,,2-WAY,01/01/2000 12:00:00 AM,6200,,,"(43.022853, -78.965749)"
545099,NIAGARA,NORTH TONAWANDA,EDWARD ST,GILMORE AVE,PAYNE AVE,BETWEEN,,2-WAY,01/01/2015 12:00:00 AM,205,,,"(43.041456, -78.876774)"
549182,NIAGARA,NIAGARA FALLS,22ND ST,FERRY AVE,WALNUT AVE,BETWEEN,,1-WAY,01/01/2011 12:00:00 AM,975,,,"(43.09199602, -79.03554127)"
530603EB,ERIE,GRAND ISLAND,I-190 @ WEST RIVER PKWY / LONG RD,,,AT,,RAMP,01/01/2013 12:00:00 AM,3250,,,"(43.046844, -78.991613)"
530438,ERIE,AMHERST,SHERIDAN DR,I-290 YOUNGMANN EXPWY,RT 277 N FOREST RD,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,39725,,,"(42.97817694, -78.77459049)"
533132,ERIE,ORCHARD PARK,US 219 @ MILESTRIP RD,,,,US 219 NB (OFF) TO NY 179 MILESTRIP RD EB,RAMP,01/01/2014 12:00:00 AM,1735,,,"(42.78627558, -78.77214432)"
534913,ERIE,BUFFALO,WINSPEAR AVE,PARKRIDGE AV,RT 62 BAILEY AV,BETWEEN,,2-WAY,01/01/1987 12:00:00 AM,8300,,,"(42.94906462, -78.81898642)"
541011,NIAGARA,LOCKPORT,AKRON RD,LOCKPORT CITY LN,RT 93 DYSINGER RD,BETWEEN,,2-WAY,01/01/1992 12:00:00 AM,1900,,,"(43.139843, -78.614487)"
530192,ERIE,LACKAWANNA,SOUTH PARK AVE,RIDGE RD,BUFFALO S CITY LN,BETWEEN,,2-WAY,01/01/1998 12:00:00 AM,10500,,,"(42.83026078, -78.82393979)"
534839,ERIE,"ORCHARD PARK, AURORA",TRANSIT RD,JEWETT-HOLMWOOD RD,RT 20A QUAKER RD,BETWEEN,,2-WAY,01/01/1994 12:00:00 AM,4000,,,"(42.76173197, -78.69689226)"
530115,ERIE,ELMA/WEST SENECA,TRANSIT RD,RT 16 SENECA ST,RT 400 EXPWY,BETWEEN,,2-WAY,01/01/1999 12:00:00 AM,21800,,,"(42.830786, -78.696957)"
530304,ERIE,BUFFALO,DELAWARE AVE,AMHERST ST,HERTEL AV,BETWEEN,,2-WAY,01/01/1977 12:00:00 AM,27500,,,"(42.945224, -78.868232)"
541210,NIAGARA,LOCKPORT,OHIO ST,RT 31 WEST AV,PARK AV,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,1775,,,"(43.16771672, -78.70974809)"
530146,ERIE,BUFFALO,SENECA ST,BABCOCK ST,SMITH ST,BETWEEN,,2-WAY,01/01/1979 12:00:00 AM,7300,,,"(42.87296, -78.840567)"
534448,ERIE,BUFFALO,HURON ST (EAST),RT 5 MAIN ST,GENESEE ST,BETWEEN,,2-WAY,01/01/2002 12:00:00 AM,3300,,,"(42.88859768, -78.87320727)"
544226,NIAGARA,NORTH TONAWANDA,SWEENEY ST,DIVISION STREET,MEADOW DR SOUTH,BETWEEN,,2-WAY,01/01/2013 12:00:00 AM,4669,4580,88,"(43.02236472, -78.85559857)"
536239,ERIE,HAMBURG,MCKINLEY PKWY,SOWLES/BAYVIEW RDS,RT 20 SOUTHWESTERN BLVD,BETWEEN,,2-WAY,01/01/1984 12:00:00 AM,9400,,,"(42.761905, -78.811742)"
534557,ERIE,AMHERST,MAPLE RD,HOPKINS RD,RT 78 TRANSIT RD,BETWEEN,,2-WAY,01/01/2008 12:00:00 AM,23050,,,"(42.99068264, -78.71600501)"
537099,ERIE,BUFFALO,OHIO ST,LOUISIANA ST,CHICAGO ST,BETWEEN,,2-WAY,01/01/1993 12:00:00 AM,5000,,,"(42.8660331, -78.8676095)"
530524,ERIE,AURORA,BIG TREE RD,RT187 TRANSIT RD,JEWETT-HOLMWOOD RD,BETWEEN,,2-WAY,01/01/1990 12:00:00 AM,7500,,,"(42.765544, -78.667452)"
530004,ERIE,AMHERST,SHERIDAN DR,RT 240 HARLEM RD,I-290 YOUNGMANN EXPWY,BETWEEN,,2-WAY,01/01/1982 12:00:00 AM,24400,,,"(42.978591, -78.783702)"
533052,ERIE,EVANS,I-90 @ EXIT 57A - EDEN / ANGOLA,,,,I-90 WB (OFF) TO EXIT 57A TOLL BOOTH,RAMP,01/01/2014 12:00:00 AM,2444,2236,208,"(42.66154709, -78.96008134)"
531112,ERIE,BUFFALO,LAFAYETTE SQUARE (WB),MAIN ST,WASHINGTON ST,BETWEEN,,1-WAY,01/01/2006 12:00:00 AM,5700,,,"(42.885952, -78.873677)"
536003,ERIE,BUFFALO,JEFFERSON AVE,GENESEE ST,HIGH ST,BETWEEN,,2-WAY,01/01/2003 12:00:00 AM,9700,,,"(42.897572, -78.853938)"
534792,ERIE,AMHERST,YOUNGS RD,WEHRLE DR,RT 5 MAIN ST,BETWEEN,,2-WAY,01/01/1986 12:00:00 AM,8700,,,"(42.96325349, -78.72464776)"
530355,ERIE,BUFFALO,BROADWAY,RT 62 BAILEY AV,BUFFALO E CITY LN,BETWEEN,,2-WAY,01/01/1982 12:00:00 AM,15700,,,"(42.89766836, -78.80584359)"
530982,ERIE,BUFFALO,BROADWAY,OAK ST,ELM ST,BETWEEN,,2-WAY,01/01/2011 12:00:00 AM,4575,,,"(42.886365, -78.869648)"
530445,ERIE,ALDEN,BROADWAY,TOWN LINE RD,ALDEN CRITTENDEN RD,BETWEEN,,2-WAY,01/01/1980 12:00:00 AM,8850,,,"(42.89167117, -78.53253789)"
534231,ERIE,BUFFALO,DOAT ST,RT 62 BAILEY AV,BUFFALO CITY LN,BETWEEN,,2-WAY,01/01/2003 12:00:00 AM,4800,,,"(42.909784, -78.806547)"
546135,NIAGARA,NIAGARA FALLS,PACKARD RD,FALLS ST,RT 61 HYDE PARK BLVD,BETWEEN,,2-WAY,01/01/2012 12:00:00 AM,3242,,,"(43.087069, -79.021931)"
540566,NIAGARA,NIAGARA FALLS,N GRAND ISLAND BRG,NIAGARA CO LN (LASALLE EXPWY),RT 62 NF BLVD,BETWEEN,,2-WAY,01/01/2002 12:00:00 AM,53400,,,"(43.085596, -78.990648)"
540036,NIAGARA,LEWISTON,CREEK RD,RT 104 RIDGE RD,BLAIRVILLE RD,BETWEEN,,2-WAY,01/01/2000 12:00:00 AM,5300,,,"(43.20679656, -79.01772201)"
534608,ERIE,BUFFALO,MINERAL SPRG RD,RT 16 SENECA ST,FRANK ST,BETWEEN,,2-WAY,01/01/2005 12:00:00 AM,9100,,,"(42.85910482, -78.81054282)"
534267,ERIE,AMHERST,EGGERT RD,RT 5 MAIN ST,RT 263 MILLERSPORT HWY,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,9952,9828,123,"(42.96694151, -78.80392984)"
540130,NIAGARA,LOCKPORT,WEST AVE,LOCKPORT W CITY LN,PROSPECT ST,BETWEEN,,2-WAY,01/01/1991 12:00:00 AM,11100,,,"(43.167514, -78.704519)"
530021,ERIE,BUFFALO,RT 5,RIDGE RD,TIFFT ST,BETWEEN,,2-WAY,01/01/1978 12:00:00 AM,28200,,,"(42.83320932, -78.85352254)"
544252,NIAGARA,LEWISTON,WALMORE RD,WHEATFIELD TN LN,RT 31 SAUNDERS SETTLEMENT RD,BETWEEN,,2-WAY,01/01/1998 12:00:00 AM,3300,,,"(43.13898785, -78.93362135)"
536149,ERIE,NEWSTEAD,MARTIN RD,CEDAR ST,GENESEE CO LINE,BETWEEN,,2-WAY,01/01/2012 12:00:00 AM,395,,,"(43.054637, -78.480012)"
540110,NIAGARA,WHEATFIELD,NIA FALLS BLVD,RT 429 WARD RD,WALMORE RD,BETWEEN,,2-WAY,01/01/1978 12:00:00 AM,13200,,,"(43.088649, -78.891859)"
530112,ERIE,ORCHARD PARK,S WESTERN BLVD,RT 179 MILESTRIP RD,RTS 240/277 N BUFFALO ST,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,23200,,,"(42.79315888, -78.75588477)"
530065,ERIE,AURORA,OLEAN ST,STATE HWY 400,SOUTH ST,BETWEEN,,2-WAY,01/01/2009 12:00:00 AM,6250,,,"(42.750479, -78.605847)"
530475,ERIE,BUFFALO,BAILEY AVE,MCKINLEY PKWY,ELK ST,BETWEEN,,2-WAY,01/01/1998 12:00:00 AM,19700,,,"(42.86225843, -78.8250804)"
534400,ERIE,BUFFALO,GRANT ST,AMHERST ST,RT 265 MILITARY RD,BETWEEN,,2-WAY,01/01/1986 12:00:00 AM,10800,,,"(42.93985, -78.890926)"
530391,ERIE,AMHERST,MILLERSPORT HWY,RT 324 SHERIDAN DR,I-290 YOUNGMANN EXPWY,BETWEEN,,2-WAY,01/01/2010 12:00:00 AM,26785,,,"(42.98263325, -78.79600525)"
531010,ERIE,LANCASTER,PAVEMENT RD,RT 20 BROADWAY,NICHTER RD,BETWEEN,,2-WAY,01/01/1999 12:00:00 AM,6450,,,"(42.90163734, -78.62285256)"
530420,ERIE,ORCHARD PARK,MILESTRIP RD,RT 219 EXPWY,RT 20 SOUTHWESTERN BLVD,BETWEEN,,2-WAY,01/01/1984 12:00:00 AM,8000,,,"(42.78910418, -78.76227915)"
530013,ERIE,COLLINS,GOWANDA RD,END OLAP RT 39,RT 249 BRANT RD,BETWEEN,,2-WAY,01/01/1982 12:00:00 AM,4550,,,"(42.56933153, -78.93596023)"
530577,ERIE,AMHERST,YOUNGMANN EXPWY,RT 62 NF BLVD,I-990,BETWEEN,,2-WAY,01/01/1986 12:00:00 AM,68200,,,"(43.00163027, -78.81360054)"
532221,ERIE,CHEEKTOWAGA,ROWLEY RD,DEPEW VILL LN,BORDEN RD,BETWEEN,,2-WAY,01/01/2015 12:00:00 AM,2015,,,"(42.89705039, -78.71315047)"
536247,ERIE,NORTH COLLINS,NEW OREGON RD,BOSTON RD,ROCKY MOUNTAIN RD,BETWEEN,,2-WAY,01/01/2013 12:00:00 AM,95,,,"(42.601951, -78.810575)"
544240,NIAGARA,HARTLAND/SOMERSET,HARTLAND/SOMERSET TOWN LINE RD,CARMEN RD,RT 269 COUNTY LINE RD,BETWEEN,,2-WAY,01/01/2007 12:00:00 AM,350,,,"(43.30299985, -78.48167181)"
534861,ERIE,"TONAWANDA, BUFFALO",VULCAN ST,RT 266 NIAGARA ST,TONAWANDA ST,BETWEEN,,2-WAY,01/01/1979 12:00:00 AM,4800,,,"(42.95797722, -78.91021371)"
540052,NIAGARA,NIAGARA FALLS,BUFFALO AVE,RT 61 HYDE PARK BLVD,VETERANS DR,BETWEEN,,2-WAY,01/01/1990 12:00:00 AM,6600,,,"(43.08254945, -79.02269751)"
534569,ERIE,BUFFALO,MASTEN AVE,E UTICA ST,E FERRY ST,BETWEEN,,2-WAY,01/01/2010 12:00:00 AM,1776,1680,95,"(42.913494, -78.859525)"
530031,ERIE,NEWSTEAD,MAIN ST,RT 93 BUELL RD,CRITTENDEN RD,BETWEEN,,2-WAY,01/01/1992 12:00:00 AM,5400,,,"(42.99840141, -78.4915477)"
534143,ERIE,LANCASTER,CENTRAL AVE,RT 20 BROADWAY,CONRAIL R R,BETWEEN,,2-WAY,01/01/1984 12:00:00 AM,16000,,,"(42.90597739, -78.67113233)"
530382,ERIE,EAST AURORA,QUAKER RD,JEWETT-HOLMWOOD RD,BUFFALO RD,BETWEEN,,2-WAY,01/01/1990 12:00:00 AM,7500,,,"(42.763709, -78.634667)"
534542,ERIE,BUFFALO,LOUISIANA ST,SOUTH PARK AV,I-190 RAMP,BETWEEN,,2-WAY,01/01/1986 12:00:00 AM,6000,,,"(42.873022, -78.864055)"
536434,ERIE,HAMBURG,LAKE AVE,RT 62 SOUTH PARK AV,MCKINLEY PKWY,BETWEEN,,2-WAY,01/01/2014 12:00:00 AM,11637,,,"(42.79703027, -78.81768823)"
536267,ERIE,AURORA,MILL RD,NY 240,WEST FALLS RD,BETWEEN,,2-WAY,01/01/2010 12:00:00 AM,2325,,,"(42.72337913, -78.67353559)"
530374,ERIE,CHEEKTOWAGA/LANCASTER,TRANSIT RD,LOSSON RD,BROADWAY,BETWEEN,,2-WAY,01/01/1993 12:00:00 AM,23900,,,"(42.88828718, -78.69691908)"
544106,NIAGARA,NIAGARA,LOCKPORT RD,PACKARD RD,WHEATFIELD TN LN,BETWEEN,,2-WAY,01/01/1994 12:00:00 AM,15500,,,"(43.12117865, -78.95444334)"
539506,ERIE,EAST AURORA,MILL RD,QUAKER RD,WOODBROOK DR,BETWEEN,,2-WAY,01/01/2010 12:00:00 AM,4059,3962,96,"(42.76325811, -78.63272846)"
534503,ERIE,AMHERST,KLEIN RD,PARADISE RD,RT 78 TRANSIT RD,BETWEEN,,2-WAY,01/01/1996 12:00:00 AM,7900,,,"(42.99981627, -78.69993657)"
534902,ERIE,BUFFALO,WILLIAM ST,JEFFERSON AV,FILLMORE AV,BETWEEN,,2-WAY,01/01/2008 12:00:00 AM,5900,,,"(42.885136, -78.8504)"
544036,NIAGARA,NIAGARA FALLS,CAYUGA DR,RT 265 N MILITARY RD,TUSCARORA RD,BETWEEN,,2-WAY,01/01/2006 12:00:00 AM,3000,,,"(43.08908826, -78.9628762)"
530014,ERIE,BUFFALO,PEACE BRIDGE,USA,CANADA,BRIDGE,,2-WAY,01/01/2007 12:00:00 AM,18180,14591,3590,"(42.90685558, -78.90508533)"
544081,NIAGARA,LOCKPORT,HIGH ST,WASHBURN ST,AKRON RD,BETWEEN,,2-WAY,01/01/1998 12:00:00 AM,6400,,,"(43.16431269, -78.68029475)"
546130,NIAGARA,PENDLETON,N TONA CREEK RD,IRISH RD,E CANAL RD,BETWEEN,,2-WAY,01/01/2003 12:00:00 AM,1100,,,"(43.085758, -78.732587)"
534068,ERIE,WEST SENECA,BERG RD,ORCHARD PARK TOWN LN,RT 240 ORCHARD PARK RD,BETWEEN,,2-WAY,01/01/1997 12:00:00 AM,6700,,,"(42.80750761, -78.76546025)"
534135,ERIE,CHEEKTOWAGA,CAYUGA RD,CLEVELAND DR,WEHRLE DR,BETWEEN,,2-WAY,01/01/1997 12:00:00 AM,17400,,,"(42.94351224, -78.74445319)"
530389,ERIE,NORTH COLLINS,THIEL-LANGFORD RD,RT 62 GOWANDA STATE RD,RT 75 SISSON HWY,BETWEEN,,2-WAY,01/01/2008 12:00:00 AM,1000,,,"(42.58753, -78.886321)"
543035,NIAGARA,LEWISTON,NY 104 / RMSP,,,,RMSP EB (OFF) TO NY 104 LEWISTON RD,RAMP,01/01/2009 12:00:00 AM,1423,,,"(43.132781, -79.046978)"
544058,NIAGARA,PENDLETON,EAST CANAL RD,DONNER RD,ROBINSON RD,BETWEEN,,2-WAY,01/01/1975 12:00:00 AM,600,,,"(43.12872343, -78.72668088)"
534816,ERIE,BUFFALO,SUMMER ST,ELMWOOD AV,RT 384 DELAWARE AV,BETWEEN,,2-WAY,01/01/1990 12:00:00 AM,9600,,,"(42.90466, -78.87405)"
536182,ERIE,NEWSTEAD,BUCKWHEAT RD,NEWSTEAD TOWN LN,S NEWSTEAD RD,BETWEEN,,2-WAY,01/01/2013 12:00:00 AM,406,,,"(42.96185218, -78.51924359)"
534215,ERIE,BUFFALO,DELAVAN AVE (WEST),RICHMOND AV,ELMWOOD AV,BETWEEN,,2-WAY,01/01/1998 12:00:00 AM,2800,,,"(42.92218757, -78.88013929)"
